city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Glass House Mountains,-26.9000,152.9167,Australia,AU,Queensland,,3576,3576
Sussex Inlet,-35.1250,150.5436,Australia,AU,New South Wales,,3575,3575
Proserpine,-20.4017,148.5814,Australia,AU,Queensland,,3562,3562
Merimbula,-36.8983,149.9011,Australia,AU,New South Wales,,3544,3544
Scarness,-25.2833,152.8500,Australia,AU,Queensland,,3519,3519
Port Douglas,-16.4834,145.4652,Australia,AU,Queensland,,3504,3504
Gosford,-33.4233,151.3414,Australia,AU,New South Wales,,3499,3499
Bridgewater,-35.0164,138.7680,Australia,AU,South Australia,,3498,3498
Lake Cathie,-31.5483,152.8511,Australia,AU,New South Wales,,3494,3494
Condobolin,-33.0886,147.1494,Australia,AU,New South Wales,,3486,3486
Paynesville,-37.9167,147.7167,Australia,AU,Victoria,,3480,3480
Woodford,-26.9408,152.7669,Australia,AU,Queensland,,3458,3458
Maddingley,-37.6864,144.4336,Australia,AU,Victoria,,3453,3453
Hurstbridge,-37.6389,145.1950,Australia,AU,Victoria,,3450,3450
Quirindi,-31.5081,150.6800,Australia,AU,New South Wales,,3444,3444
Maleny,-26.7580,152.8513,Australia,AU,Queensland,,3441,3441
Calliope,-24.0061,151.1988,Australia,AU,Queensland,,3438,3438
Corrimal,-34.3775,150.9117,Australia,AU,New South Wales,,3405,3405
Walkerston,-21.1608,149.0591,Australia,AU,Queensland,,3403,3403
Blayney,-33.5333,149.2500,Australia,AU,New South Wales,,3378,3378
Camperdown,-38.2333,143.1500,Australia,AU,Victoria,,3369,3369
Aldgate,-35.0153,138.7360,Australia,AU,South Australia,,3361,3361
Port Fairy,-38.3667,142.2333,Australia,AU,Victoria,,3340,3340
Tyabb,-38.2590,145.1890,Australia,AU,Victoria,,3338,3338
Lowood,-27.4667,152.5833,Australia,AU,Queensland,,3336,3336
Charleville,-26.4016,146.2383,Australia,AU,Queensland,,3335,3335
Derby,-17.3056,123.6339,Australia,AU,Western Australia,,3325,3325
Mooloolah,-26.7625,152.9633,Australia,AU,Queensland,,3321,3321
Pittsworth,-27.7167,151.6333,Australia,AU,Queensland,,3294,3294
Vincentia,-35.0758,150.6742,Australia,AU,New South Wales,,3290,3290
Coonabarabran,-31.2650,149.2678,Australia,AU,New South Wales,,3290,3290
Euroa,-36.7500,145.5670,Australia,AU,Victoria,,3275,3275
Oberon,-33.7167,149.8667,Australia,AU,New South Wales,,3256,3256
Woombye,-26.6667,152.9670,Australia,AU,Queensland,,3246,3246
Nhulunbuy,-12.1825,136.7819,Australia,AU,Northern Territory,,3240,3240
Camden,-34.0544,150.6958,Australia,AU,New South Wales,,3230,3230
Murrumbateman,-34.9625,149.0261,Australia,AU,New South Wales,,3219,3219
Fernvale,-27.4500,152.6500,Australia,AU,Queensland,,3209,3209
East Hills,-33.9567,150.9844,Australia,AU,New South Wales,,3206,3206
Bohle Plains,-19.3136,146.6919,Australia,AU,Queensland,,3205,3205
Junortoun,-36.7667,144.3500,Australia,AU,Victoria,,3201,3201
Myrtleford,-36.5500,146.7170,Australia,AU,Victoria,,3193,3193
Crib Point,-38.3630,145.2020,Australia,AU,Victoria,,3183,3183
Marcoola,-26.5833,153.0830,Australia,AU,Queensland,,3173,3173
Mullumbimby,-28.5500,153.5000,Australia,AU,New South Wales,,3172,3172
Creswick,-37.4333,143.9000,Australia,AU,Victoria,,3170,3170
Clare,-33.8333,138.6000,Australia,AU,South Australia,,3160,3160
Tura Beach,-36.8483,149.9261,Australia,AU,New South Wales,,3158,3158
Eden,-37.0650,149.9011,Australia,AU,New South Wales,,3151,3151
West Wyalong,-33.9167,147.2167,Australia,AU,New South Wales,,3141,3141
Gilgandra,-31.7000,148.6667,Australia,AU,New South Wales,,3126,3126
Yunderup,-32.5833,115.8000,Australia,AU,Western Australia,,3114,3114
Rochester,-36.3667,144.7000,Australia,AU,Victoria,,3113,3113
McLaren Vale,-35.2198,138.5411,Australia,AU,South Australia,,3096,3096
Miners Rest,-37.4860,143.7570,Australia,AU,Victoria,,3095,3095
Robinvale,-34.5833,142.7667,Australia,AU,Victoria,,3088,3088
Wilton,-34.2400,150.7011,Australia,AU,New South Wales,,3080,3080
Riverview,-27.6000,152.8500,Australia,AU,Queensland,,3073,3073
Bogangar,-28.3317,153.5594,Australia,AU,New South Wales,,3060,3060
Shoalhaven Heads,-34.8500,150.7417,Australia,AU,New South Wales,,3059,3059
Saint George,-28.0363,148.5797,Australia,AU,Queensland,,3048,3048
Little Hampton,-35.0500,138.8500,Australia,AU,South Australia,,3044,3044
Clermont,-22.8230,147.6383,Australia,AU,Queensland,,3031,3031
Home Hill,-19.6611,147.4139,Australia,AU,Queensland,,3027,2954
Central Coast,-33.4200,151.3000,Australia,AU,New South Wales,,3026,3026
Kuranda,-16.8197,145.6369,Australia,AU,Queensland,,3008,3008
Wilberforce,-33.5594,150.8410,Australia,AU,New South Wales,,3007,3007
Tom Price,-22.6939,117.7950,Australia,AU,Western Australia,,3005,3005
Urunga,-30.4983,153.0178,Australia,AU,New South Wales,,3000,3000
Dysart,-22.5855,148.3508,Australia,AU,Queensland,,2991,2991
Two Rocks,-31.4950,115.5880,Australia,AU,Western Australia,,2990,2990
Ballan,-37.6000,144.2500,Australia,AU,Victoria,,2985,2985
Gloucester,-32.0094,151.9603,Australia,AU,New South Wales,,2975,2975
Bonny Hills,-31.5817,152.8344,Australia,AU,New South Wales,,2971,2971
Longreach,-23.4422,144.2491,Australia,AU,Queensland,,2970,2970
Stirling,-35.0022,138.7060,Australia,AU,South Australia,,2966,2966
Perth,-41.5731,147.1714,Australia,AU,Tasmania,,2965,2965
Bordertown,-36.3118,140.7702,Australia,AU,South Australia,,2953,2953
Lewiston,-34.6044,138.5914,Australia,AU,South Australia,,2947,2947
Waroona,-32.8667,115.9167,Australia,AU,Western Australia,,2934,2934
Leschenault,-33.2450,115.7350,Australia,AU,Western Australia,,2932,2932
Terranora,-28.2456,153.5025,Australia,AU,New South Wales,,2926,2926
Kapunda,-34.3389,138.9167,Australia,AU,South Australia,,2917,2917
Woori Yallock,-37.7780,145.5280,Australia,AU,Victoria,,2913,2913
Saint Georges Basin,-35.1300,150.6269,Australia,AU,New South Wales,,2913,2913
Pomona,-26.3625,152.8564,Australia,AU,Queensland,,2910,2910
Sorell,-42.7831,147.5625,Australia,AU,Tasmania,,2907,2907
Tea Gardens,-32.6669,152.1594,Australia,AU,New South Wales,,2884,2884
Culburra,-34.9347,150.7539,Australia,AU,New South Wales,,2874,2874
Yarra Glen,-37.6489,145.3719,Australia,AU,Victoria,,2869,2869
Beaconsfield Upper,-37.9960,145.4150,Australia,AU,Victoria,,2861,2861
Morisset,-33.1150,151.5011,Australia,AU,New South Wales,,2857,2857
Merredin,-31.4820,118.2790,Australia,AU,Western Australia,,2850,2850
Deloraine,-41.5333,146.6667,Australia,AU,Tasmania,,2848,2848
Evans Head,-29.1150,153.4344,Australia,AU,New South Wales,,2847,2847
Rosewood,-27.6333,152.5830,Australia,AU,Queensland,,2834,2834
Greta,-32.6872,151.3844,Australia,AU,New South Wales,,2830,2830
Wollongbar,-28.8150,153.4011,Australia,AU,New South Wales,,2828,2828
Donnybrook,-33.5800,115.8200,Australia,AU,Western Australia,,2824,2824
McCrae,-38.3497,144.9281,Australia,AU,Victoria,,2823,2823
Angle Vale,-34.6420,138.6470,Australia,AU,South Australia,,2818,2818
Bridgetown,-33.9583,116.1381,Australia,AU,Western Australia,,2812,2812
North Wonthaggi,-38.6000,145.6000,Australia,AU,Victoria,,2806,2806
Heathcote,-36.9167,144.7000,Australia,AU,Victoria,,2793,2793
Howlong,-35.9817,146.6344,Australia,AU,New South Wales,,2777,2777
Williamstown,-34.6721,138.8884,Australia,AU,South Australia,,2755,2755
Harvey,-33.0800,115.8900,Australia,AU,Western Australia,,2750,2750
Coonamble,-30.9317,148.3678,Australia,AU,New South Wales,,2750,2750
Uralla,-30.6472,151.4956,Australia,AU,New South Wales,,2743,2743
Bundanoon,-34.6556,150.2994,Australia,AU,New South Wales,,2729,2729
Cloncurry,-20.7000,140.5000,Australia,AU,Queensland,,2719,2719
Tolga,-17.2230,145.4788,Australia,AU,Queensland,,2718,2718
Huonville,-43.0333,147.0333,Australia,AU,Tasmania,,2714,2714
Merbein,-34.1667,142.0500,Australia,AU,Victoria,,2713,2713
Alexandra,-37.1917,145.7100,Australia,AU,Victoria,,2695,2695
Waikerie,-34.1667,139.9833,Australia,AU,South Australia,,2684,2684
Point Lonsdale,-38.2833,144.6000,Australia,AU,Victoria,,2684,2684
Hill Top,-34.3525,150.4917,Australia,AU,New South Wales,,2674,2674
Stirling North,-32.5167,137.8333,Australia,AU,South Australia,,2673,2673
Hahndorf,-35.0303,138.8076,Australia,AU,South Australia,,2670,2670
Berry,-34.7817,150.7011,Australia,AU,New South Wales,,2667,2667
Burnett Heads,-24.7667,152.4000,Australia,AU,Queensland,,2656,2656
Moore Park,-24.7108,152.2388,Australia,AU,Queensland,,2650,2650
Burradoo,-34.5031,150.4089,Australia,AU,New South Wales,,2645,2645
Mannum,-34.9151,139.3044,Australia,AU,South Australia,,2644,2644
Wooroloo,-31.8030,116.3140,Australia,AU,Western Australia,,2642,2642
Crookwell,-34.4567,149.4678,Australia,AU,New South Wales,,2641,2641
Appin,-34.2067,150.7844,Australia,AU,New South Wales,,2633,2633
Cooloola Cove,-25.9805,152.9944,Australia,AU,Queensland,,2633,2633
Cooktown,-15.4690,145.2515,Australia,AU,Queensland,,2631,2631
Jindabyne,-36.4150,148.6178,Australia,AU,New South Wales,,2629,2629
Maclean,-29.4567,153.2011,Australia,AU,New South Wales,,2628,2628
Stratford,-37.9667,147.0830,Australia,AU,Victoria,,2617,2617
Lawson,-33.7178,150.4322,Australia,AU,New South Wales,,2614,2614
Thursday Island,-10.5789,142.2200,Australia,AU,Queensland,,2610,2610
Woodside,-34.9531,138.8742,Australia,AU,South Australia,,2608,2608
Narooma,-36.2000,150.1333,Australia,AU,New South Wales,,2605,2605
Macksville,-30.7175,152.9172,Australia,AU,New South Wales,,2598,2598
Molong,-33.0981,148.8561,Australia,AU,New South Wales,,2577,2577
Grenfell,-33.9097,148.1950,Australia,AU,New South Wales,,2573,2573
Yarrabah Aboriginal Community,-16.9094,145.8703,Australia,AU,Queensland,,2559,2559
Denmark,-34.9600,117.3531,Australia,AU,Western Australia,,2558,2558
Bonville,-30.3833,153.0500,Australia,AU,New South Wales,,2554,2554
Walcha,-30.9833,151.6000,Australia,AU,New South Wales,,2553,2553
Manilla,-30.7483,150.7178,Australia,AU,New South Wales,,2550,2550
Yarra Junction,-37.7790,145.6060,Australia,AU,Victoria,,2549,2549
Daylesford,-37.3500,144.1500,Australia,AU,Victoria,,2548,2548
York,-31.8883,116.7686,Australia,AU,Western Australia,,2548,2535
Anglesea,-38.4064,144.1869,Australia,AU,Victoria,,2545,2545
Kambalda,-31.2000,121.6700,Australia,AU,Western Australia,,2539,2539
Lobethal,-34.9000,138.8667,Australia,AU,South Australia,,2527,2527
The Oaks,-34.0817,150.5678,Australia,AU,New South Wales,,2525,2525
Gulgong,-32.3650,149.5344,Australia,AU,New South Wales,,2521,2521
Finley,-35.6317,145.5678,Australia,AU,New South Wales,,2519,2519
Capel,-33.5570,115.5700,Australia,AU,Western Australia,,2509,2509
Korora,-30.2503,153.1156,Australia,AU,New South Wales,,2488,2488
Exmouth,-21.9331,114.1281,Australia,AU,Western Australia,,2486,2486
Boonah,-27.9997,152.6816,Australia,AU,Queensland,,2484,2484
Saint Leonards,-38.1667,144.7167,Australia,AU,Victoria,,2480,2480
Vasse,-33.6900,115.3000,Australia,AU,Western Australia,,2479,2479
Aberdare,-32.8428,151.3803,Australia,AU,New South Wales,,2473,2473
Bunyip,-38.0833,145.7170,Australia,AU,Victoria,,2468,2468
Dodges Ferry,-42.8539,147.6194,Australia,AU,Tasmania,,2467,2467
Palm Island,-18.7345,146.5794,Australia,AU,Queensland,,2455,2455
Cohuna,-35.8000,144.2000,Australia,AU,Victoria,,2428,2428
Bright,-36.7250,146.9630,Australia,AU,Victoria,,2406,2406
Hay,-34.4983,144.8344,Australia,AU,New South Wales,,2406,2406
Launching Place,-37.7806,145.5683,Australia,AU,Victoria,,2394,2394
Tully,-17.9333,145.9333,Australia,AU,Queensland,,2390,2390
Huntly,-36.6649,144.3290,Australia,AU,Victoria,,2379,2379
Rutherglen,-36.0556,146.4625,Australia,AU,Victoria,,2378,2378
Murgon,-26.2333,151.9500,Australia,AU,Queensland,,2378,2378
Scottsdale,-41.1667,147.5167,Australia,AU,Tasmania,,2373,2373
Baranduda,-36.1847,146.9613,Australia,AU,Victoria,,2370,2370
Moore,-30.9789,150.8692,Australia,AU,New South Wales,,2368,2368
Goolwa,-35.5000,138.7667,Australia,AU,South Australia,,2350,2350
Gembrook,-37.9500,145.5410,Australia,AU,Victoria,,2350,2350
Port Moonta,-34.0500,137.5670,Australia,AU,South Australia,,2344,2344
Warracknabeal,-36.2500,142.4170,Australia,AU,Victoria,,2340,2340
Abermain,-32.8072,151.4275,Australia,AU,New South Wales,,2337,2337
Beveridge,-37.4833,144.9833,Australia,AU,Victoria,,2330,2330
Willunga,-35.2740,138.5535,Australia,AU,South Australia,,2308,2308
Maningrida,-12.0500,134.2170,Australia,AU,Northern Territory,,2308,2308
Innes Park,-24.8661,152.4804,Australia,AU,Queensland,,2302,2302
Tara,-27.2766,150.4572,Australia,AU,Queensland,,2297,2297
Wickham,-20.6750,117.1403,Australia,AU,Western Australia,,2295,2295
Terang,-38.2333,142.9333,Australia,AU,Victoria,,2288,2288
Sandy Beach,-30.1483,153.2011,Australia,AU,New South Wales,,2287,2287
Lightning Ridge,-29.4483,147.9678,Australia,AU,New South Wales,,2284,2284
Port Keats,-14.2333,129.5170,Australia,AU,Northern Territory,,2280,2280
Hadspen,-41.5000,147.0670,Australia,AU,Tasmania,,2275,2275
Balnarring,-38.3710,145.1180,Australia,AU,Victoria,,2270,2270
Canowindra,-33.5667,148.6667,Australia,AU,New South Wales,,2258,2258
Tin Can Bay,-25.9167,153.0000,Australia,AU,Queensland,,2242,2242
Tuross Head,-36.0650,150.1344,Australia,AU,New South Wales,,2241,2241
Emerald Beach,-30.1650,153.1844,Australia,AU,New South Wales,,2234,2234
Jindera,-35.9500,146.9000,Australia,AU,New South Wales,,2222,2222
Yandina,-26.5500,152.9500,Australia,AU,Queensland,,2221,2221
Freeling,-34.4500,138.8000,Australia,AU,South Australia,,2214,2214
Meringandan,-27.4166,151.8922,Australia,AU,Queensland,,2211,487
Agnes Water,-24.2125,151.9032,Australia,AU,Queensland,,2210,2210
Mount Clear,-37.5833,143.8667,Australia,AU,Victoria,,2203,2203
Coolamon,-34.8319,147.2011,Australia,AU,New South Wales,,2199,2199
Mirboo North,-38.4000,146.1500,Australia,AU,Victoria,,2197,2197
Kyogle,-28.6167,153.0000,Australia,AU,New South Wales,,2197,2197
Saint Arnaud,-36.6000,143.2500,Australia,AU,Victoria,,2193,2193
Lismore Heights,-28.8044,153.3000,Australia,AU,New South Wales,,2193,2193
Toogoom,-25.2459,152.6710,Australia,AU,Queensland,,2178,2178
Ravenswood,-32.5833,115.8330,Australia,AU,Western Australia,,2176,2176
Coldstream,-37.7340,145.3830,Australia,AU,Victoria,,2164,2164
Baxter,-38.1960,145.1570,Australia,AU,Victoria,,2162,2162
Crows Nest,-27.2658,152.0580,Australia,AU,Queensland,,2160,2160
Nyngan,-31.5667,147.2000,Australia,AU,New South Wales,,2159,2159
Ceduna,-32.1167,133.6667,Australia,AU,South Australia,,2157,2157
Walgett,-30.0317,148.1011,Australia,AU,New South Wales,,2145,2145
Alice River,-19.3486,146.6183,Australia,AU,Queensland,,2143,2143
Yarram,-38.5500,146.6667,Australia,AU,Victoria,,2135,2135
Lower Chittering,-31.5560,116.0870,Australia,AU,Western Australia,,2127,2127
Kootingal,-31.0567,151.0511,Australia,AU,New South Wales,,2126,2126
Gowrie Junction,-27.5061,151.8816,Australia,AU,Queensland,,2120,2120
Port Elliot,-35.5167,138.6667,Australia,AU,South Australia,,2102,2102
Angaston,-34.5000,139.0500,Australia,AU,South Australia,,2095,2095
Aberdeen,-32.1650,150.9011,Australia,AU,New South Wales,,2084,2084
Mid Sapphire Beach,-30.2317,153.1511,Australia,AU,New South Wales,,2084,2084
Wee Waa,-30.2150,149.4344,Australia,AU,New South Wales,,2080,2080
One Mile,-27.6333,152.7330,Australia,AU,Queensland,,2077,2077
Saint Helens,-41.3167,148.2333,Australia,AU,Tasmania,,2070,2070
Burrum Heads,-25.1841,152.6138,Australia,AU,Queensland,,2067,2067
Koroit,-38.2833,142.3670,Australia,AU,Victoria,,2055,2055
Cundletown,-31.8817,152.5178,Australia,AU,New South Wales,,2054,2054
Heddon Greta,-32.8058,151.5103,Australia,AU,New South Wales,,2047,2047
Macedon,-37.4167,144.5667,Australia,AU,Victoria,,2040,2040
Bellbird,-32.8550,151.3183,Australia,AU,New South Wales,,2032,2032
Murrumburrah,-34.5483,148.3678,Australia,AU,New South Wales,,2030,2030
Buxton,-34.2558,150.5331,Australia,AU,New South Wales,,2028,2028
Guyra,-30.2150,151.6678,Australia,AU,New South Wales,,2027,2027
Dungog,-32.4047,151.7528,Australia,AU,New South Wales,,2025,2025
Freshwater,-16.8833,145.7170,Australia,AU,Queensland,,2023,2023
Port Sorell,-41.1667,146.5500,Australia,AU,Tasmania,,2022,2022
Bangalow,-28.6817,153.5178,Australia,AU,New South Wales,,2021,2021
Emu Park,-23.2569,150.8264,Australia,AU,Queensland,,2021,2021
Cedar Grove,-27.8600,152.9742,Australia,AU,Queensland,,2020,2020
Orbost,-37.7000,148.4500,Australia,AU,Victoria,,2014,2014
Warburton,-37.7550,145.6970,Australia,AU,Victoria,,2012,2012
Westbury,-41.5167,146.8500,Australia,AU,Tasmania,,2006,2006
Longwarry,-38.1000,145.7670,Australia,AU,Victoria,,2004,2004
Lyndoch,-34.6037,138.8866,Australia,AU,South Australia,,2000,2000
Nimbin,-28.6000,153.2333,Australia,AU,New South Wales,,2000,2000
Wahroonga,-33.6928,151.1261,Australia,AU,New South Wales,,1998,1998
Clarence Town,-32.5842,151.7819,Australia,AU,New South Wales,,1994,1994
Heyfield,-37.9833,146.7830,Australia,AU,Victoria,,1993,1993
Branxton,-32.6483,151.3511,Australia,AU,New South Wales,,1991,1991
Camden Haven,-31.6483,152.8011,Australia,AU,New South Wales,,1986,1986
Malanda,-17.3550,145.5958,Australia,AU,Queensland,,1985,1985
Gayndah,-25.6244,151.6080,Australia,AU,Queensland,,1981,1981
Wallerawang,-33.4067,150.0678,Australia,AU,New South Wales,,1980,1980
Freemans Reach,-33.5567,150.8011,Australia,AU,New South Wales,,1973,1973
Wondai,-26.3183,151.8736,Australia,AU,Queensland,,1973,1973
Mount Morgan,-23.6500,150.3833,Australia,AU,Queensland,,1963,1963
Wattleglen,-37.6630,145.1830,Australia,AU,Victoria,,1961,1961
Winchelsea,-38.2333,143.9833,Australia,AU,Victoria,,1954,1954
Dayboro,-27.1962,152.8243,Australia,AU,Queensland,,1940,1940
Mossman,-16.4603,145.3733,Australia,AU,Queensland,,1937,1937
Dalmeny,-36.1650,150.1344,Australia,AU,New South Wales,,1937,1937
Moonee Beach,-30.2057,153.1529,Australia,AU,New South Wales,,1933,1933
Malua Bay,-35.8000,150.2333,Australia,AU,New South Wales,,1929,1929
Tongala,-36.2500,144.9500,Australia,AU,Victoria,,1926,1926
Two Wells,-34.5962,138.5159,Australia,AU,South Australia,,1926,1926
Eumundi,-26.4833,152.9500,Australia,AU,Queensland,,1924,1924
Curra,-26.0708,152.5894,Australia,AU,Queensland,,1920,1920
Barmera,-34.2500,140.4667,Australia,AU,South Australia,,1914,1914
Middlemount,-22.8167,148.7000,Australia,AU,Queensland,,1914,1841
Bourke,-30.0817,145.9511,Australia,AU,New South Wales,,1909,1909
Dennington,-38.3558,142.4410,Australia,AU,Victoria,,1907,1907
Mount Barker,-34.6300,117.6669,Australia,AU,Western Australia,,1905,1905
Mulwala,-35.9817,146.0011,Australia,AU,New South Wales,,1904,1904
Balaklava,-34.1490,138.4145,Australia,AU,South Australia,,1902,1902
Cowaramup,-33.8500,115.1100,Australia,AU,Western Australia,,1902,1902
Moura,-24.5667,150.0167,Australia,AU,Queensland,,1899,1786
Kilcoy,-26.9431,152.5639,Australia,AU,Queensland,,1898,1898
Windsor,-33.6114,150.8133,Australia,AU,New South Wales,,1891,1891
Nagambie,-36.7703,145.1550,Australia,AU,Victoria,,1886,1886
Nathalia,-36.0583,145.2040,Australia,AU,Victoria,,1880,1880
Gleneagle,-27.9405,152.9616,Australia,AU,Queensland,,1877,1877
Nhill,-36.3333,141.6500,Australia,AU,Victoria,,1872,1872
Robertson,-34.5900,150.5928,Australia,AU,New South Wales,,1865,1865
Tumbarumba,-35.7833,148.0167,Australia,AU,New South Wales,,1862,1862
Ceduna,-32.1333,133.6833,Australia,AU,Tasmania,,1850,1850
Withcott,-27.5536,152.0238,Australia,AU,Queensland,,1844,1844
Oakdale,-34.0817,150.5011,Australia,AU,New South Wales,,1843,1843
Foster,-38.6500,146.2000,Australia,AU,Victoria,,1842,1842
Cobden,-38.3333,143.0670,Australia,AU,Victoria,,1839,1839
Jacobs Well,-27.7858,153.3614,Australia,AU,Queensland,,1839,1839
Redbank,-27.6000,152.8670,Australia,AU,Queensland,,1834,1834
Wyreema,-27.6500,151.8670,Australia,AU,Queensland,,1834,1834
Lower King,-34.9578,117.9383,Australia,AU,Western Australia,,1832,1832
Mount Crosby,-27.5400,152.8040,Australia,AU,Queensland,,1832,1832
Woorim,-27.0677,153.2033,Australia,AU,Queensland,,1829,1829
Chidlow,-31.8570,116.2720,Australia,AU,Western Australia,,1828,1828
Craignish,-25.2830,152.7288,Australia,AU,Queensland,,1827,1827
Wagin,-33.3167,117.3500,Australia,AU,Western Australia,,1824,1495
Barooga,-35.9067,145.6928,Australia,AU,New South Wales,,1817,1817
Yackandandah,-36.3131,146.8392,Australia,AU,Victoria,,1811,1811
Queenstown,-42.0667,145.5500,Australia,AU,Tasmania,,1790,1790
Kingscote,-35.6531,137.6342,Australia,AU,South Australia,,1790,1790
Denman,-32.3833,150.6833,Australia,AU,New South Wales,,1789,1789
Kambalda West,-31.2114,121.7129,Australia,AU,Western Australia,,1789,1789
Raworth,-32.7289,151.6150,Australia,AU,New South Wales,,1788,1788
Garfield,-38.0667,145.6830,Australia,AU,Victoria,,1786,1786
Campbells Creek,-37.1000,144.2000,Australia,AU,Victoria,,1786,1786
Batehaven,-35.7317,150.2011,Australia,AU,New South Wales,,1776,1776
Moora,-30.6380,116.0100,Australia,AU,Western Australia,,1773,1773
Park Ridge,-27.7271,153.0332,Australia,AU,Queensland,,1762,1762
Coober Pedy,-29.0111,134.7556,Australia,AU,South Australia,,1762,1762
Jurien Bay,-30.2970,115.0420,Australia,AU,Western Australia,,1761,1761
Merriwa,-32.1317,150.3511,Australia,AU,New South Wales,,1761,1761
Miles,-26.6583,150.1870,Australia,AU,Queensland,,1746,1746
Olinda,-37.8560,145.3640,Australia,AU,Victoria,,1738,1738
Brunswick Heads,-28.5586,153.5447,Australia,AU,New South Wales,,1737,1737
Mount Compass,-35.3506,138.6203,Australia,AU,South Australia,,1731,1457
Dimboola,-36.4500,142.0167,Australia,AU,Victoria,,1730,1730
Clunes,-37.3000,143.7833,Australia,AU,Victoria,,1728,1728
Heywood,-38.1333,141.6170,Australia,AU,Victoria,,1726,1726
Kooralbyn,-28.0725,152.8208,Australia,AU,Queensland,,1725,1725
Teesdale,-38.0333,144.0500,Australia,AU,Victoria,,1721,1721
Iluka,-29.4067,153.3511,Australia,AU,New South Wales,,1718,1718
Broulee,-35.8483,150.1678,Australia,AU,New South Wales,,1717,1717
Holbrook,-35.7150,147.3178,Australia,AU,New South Wales,,1715,1715
Drayton,-27.6000,151.9060,Australia,AU,Queensland,,1710,1710
Nullagine,-21.8880,120.1070,Australia,AU,Western Australia,,1701,1701
Esk,-27.2394,152.4197,Australia,AU,Queensland,,1698,1698
Gulmarrad,-29.4900,153.2344,Australia,AU,New South Wales,,1694,1694
Corindi Beach,-30.0317,153.2011,Australia,AU,New South Wales,,1686,1686
Gundagai,-35.0650,148.1011,Australia,AU,New South Wales,,1676,1676
Tathra,-36.7317,149.9844,Australia,AU,New South Wales,,1675,1675
North Haven,-31.6317,152.8178,Australia,AU,New South Wales,,1670,1670
Spreyton,-41.2167,146.3500,Australia,AU,Tasmania,,1669,1669
Boambee,-30.3317,153.0844,Australia,AU,New South Wales,,1668,1668
Casterton,-37.5833,141.4000,Australia,AU,Victoria,,1668,1668
Pine Mountain,-27.5333,152.7170,Australia,AU,Queensland,,1667,1667
Somers,-38.3930,145.1630,Australia,AU,Victoria,,1667,1667
Tailem Bend,-35.2500,139.4500,Australia,AU,South Australia,,1665,1665
Milton,-35.3042,150.4408,Australia,AU,New South Wales,,1663,1663
Sutton,-35.1483,149.2178,Australia,AU,New South Wales,,1660,1660
Wy Yung,-37.7953,147.6073,Australia,AU,Victoria,,1657,1657
Rosedale,-38.1500,146.7830,Australia,AU,Victoria,,1654,1654
Millgrove,-37.7530,145.6520,Australia,AU,Victoria,,1653,1653
Braidwood,-35.4483,149.8011,Australia,AU,New South Wales,,1651,1651
Yarragon,-38.2000,146.0670,Australia,AU,Victoria,,1650,1650
Kingston South East,-36.8167,139.8500,Australia,AU,South Australia,,1648,1393
Belgrave South,-37.9400,145.3560,Australia,AU,Victoria,,1645,1645
Boorowa,-34.4397,148.7203,Australia,AU,New South Wales,,1641,1641
Jamberoo,-34.6483,150.7761,Australia,AU,New South Wales,,1636,1636
Yaroomba,-26.5500,153.1000,Australia,AU,Queensland,,1623,1623
Colo Vale,-34.3983,150.4844,Australia,AU,New South Wales,,1618,1618
Kleinton,-27.4167,151.9500,Australia,AU,Queensland,,1617,1617
Chiltern,-36.1500,146.6000,Australia,AU,Victoria,,1605,1605
Apollo Bay,-38.7500,143.6500,Australia,AU,Victoria,,1598,1598
Plainland,-27.5816,152.4163,Australia,AU,Queensland,,1596,1596
Sorrento,-38.3396,144.7413,Australia,AU,Victoria,,1592,1592
Warialda,-29.4097,150.5217,Australia,AU,New South Wales,,1590,1590
Yea,-37.2000,145.4167,Australia,AU,Victoria,,1587,1587
Lang Lang,-38.2667,145.5670,Australia,AU,Victoria,,1585,1585
Childers,-25.2363,152.2775,Australia,AU,Queensland,,1584,1584
Cambooya,-27.7077,151.8633,Australia,AU,Queensland,,1584,1584
Werris Creek,-31.3483,150.6511,Australia,AU,New South Wales,,1572,1572
Bowen Mountain,-33.5817,150.6344,Australia,AU,New South Wales,,1571,1571
Tooradin,-38.2111,145.3800,Australia,AU,Victoria,,1568,1568
Bridport,-41.0005,147.3918,Australia,AU,Tasmania,,1568,1568
Chinderah,-28.2567,153.5344,Australia,AU,New South Wales,,1566,1566
Mapleton,-26.6247,152.8666,Australia,AU,Queensland,,1564,1564
Millmerran,-27.8788,151.2683,Australia,AU,Queensland,,1563,1563
Badger Creek,-37.7000,145.5167,Australia,AU,Victoria,,1563,1563
Jamestown,-33.2053,138.6019,Australia,AU,South Australia,,1561,1561
Cygnet,-43.1500,147.0670,Australia,AU,Tasmania,,1556,1556
Basin View,-35.0928,150.5572,Australia,AU,New South Wales,,1554,1554
Sheffield,-41.3822,146.3247,Australia,AU,Tasmania,,1552,1552
Curlewis,-38.1833,144.5000,Australia,AU,Victoria,,1551,1551
Walloon,-27.6000,152.6667,Australia,AU,Queensland,,1548,1548
Devon Meadows,-38.1620,145.3030,Australia,AU,Victoria,,1548,1548
Halls Creek,-18.2300,127.6700,Australia,AU,Western Australia,,1546,1499
Yallourn North,-38.1667,146.3670,Australia,AU,Victoria,,1545,1545
